id,age,sex,race,educ,dipged,paeduc,maeduc,speduc,sei10,conrinc,coninc,degree,padeg,madeg,spdeg,citizen,born,year,cohort,spsei10,pasei10,masei10,childs,immcrime,abany,abdefect,abhlth,abnomore,abpoor,abrape,absingle,accptoth,acqntsex,actassoc,actlaw,adults,advfront,affctlaw,affrmact,aged,aidscndm,aidslook,amancstr,ambetter,ambornin,amchrstn,amcit,amcitizn,amcult,amenglsh,amfeel,amgovt,amlived,amownway,amproud1,amshamed,amsports,amtv,arthrtis,astrolgy,astrosci,attend,attrally,avoidbuy,babies,backpain,balneg,balpos,befair,belikeus,bettrlfe,betrlang,bible,bigbang,boyorgrl,buypol,buyvalue,cantrust,cappun,careself,carried,chldidel,chngeoth,chngtme,choices,citworld,class,closeblk,closewht,clsenoam,clsestat,clsetown,clseusa,cntctgov,colath,colcom,coldeg1,colhomo,colmil,colmslm,colrac,colsci,colscinm,compperf,comprend,compuse,conarmy,conbus,conclerg,condemnd,condom,condrift,coneduc,confed,confinan,conjudge,conlabor,conlegis,conmedic,conpress,consci,contv,corruptn,courts,cowrkhlp,cowrkint,crack30,crimlose,cutahead,decsorgs,defpensn,dem10fut,dem10pst,demtoday,denom,denom16,depress,diabetes,directns,discaff,discaffm,discaffw,discpol,divlaw,divorce,dwelown,earnrs,earthsun,effctsup,elecfair,electron,elecvote,emailhr,emailmin,empinput,emptrain,eqwlth,esop,ethnic,evcrack,evidu,evolved,evpaidsx,evstray,evwork,excldimm,expdesgn,exptext,extrapay,extrayr,fair,fairearn,famgen,family16,famvswk,famwkoff,fear,fechld,feelevel,feeused,fefam,fehire,fejobaff,fepol,fepresch,finalter,finrela,forland,form,freetrde,fringeok,frndsex,fucitzn,fund,fund16,getahead,givblood,givchrty,givhmlss,givseat,god,goodlife,govdook,granborn,grass,grpother,grpparty,grprelig,grpsprts,grpwork,gunlaw,gvtrghts,handmove,hapcohab,hapmar,happy,haveinfo,health,health1,hefinfo,height,helpaway,helpblk,helpful,helphwrk,helpjob,helpnot,helpoth,helppoor,helpsick,helpusa,helpwrld,hhtype,hhtype1,hispanic,hivkiss,hivtest,hivtest1,hivtest2,hivvac,hlpequip,hlthall,hlthdays,homosex,hompop,hotcore,hrs1,hrs2,hrsrelax,hsbio,hschem,hsmath,hsphys,hunt,hurtatwk,hvylift,hyperten,idu30,if08who,if12who,ifwrong,immameco,immassim,immcult,immeduc,immideas,immjobs,immrghts,imports,incom16,income,income06,indperf,intecon,inteduc,intenvir,interpol,intfarm,intintl,intlblks,intlincs,intlwhts,intmed,intmil,intrhome,intsci,intspace,inttech,jobfind,jobfind1,jobhour,jobinc,joblose,jobmeans,jobpromo,jobsec,jobsecok,joindem,kidssol,knowschd,knowwhat,laidoff,lasers,learnnew,leftrght,lentto,lessprd,letdie1,letin1,letin1a,libath,libcom,libhomo,libmil,libmslm,librac,life,liveblks,livewhts,loanitem,localnum,maind10,major1,major2,majorcol,manvsemp,maocc10,marasian,marblk,marhisp,marhomo,marital,martype,marwht,matesex,mawrkgrw,mawrkslf,meltpot1,meovrwrk,mincult,misswork,mntlhlth,mobile16,mode,moredays,mustwork,nafta1,nafta2a,nataid,nataidy,natarms,natarmsy,natchld,natcity,natcityy,natcrime,natcrimy,natdrug,natdrugy,nateduc,nateducy,natenrgy,natenvir,natenviy,natfare,natfarey,natheal,nathealy,natmass,natpark,natrace,natracey,natroad,natsci,natsoc,natspac,natspacy,news,newsfrom,nextgen,notvote,ntcitvte,ntwkhard,numemps,nummen,numorg,numwomen,obey,obeylaws,opdevel,oppsegov,oth16,other,othersex,othjew,othlang,othlang1,othlang2,othreasn,othshelp,oversamp,overwork,owngun,ownstock,paidsex,painarms,paind10,paocc10,parborn,parcit,parsol,partfull,partners,partnrs5,partteam,partyid,patriot1,patriot2,patriot3,patriot4,pawrkslf,paytaxes,peocntct,peoptrbl,phase,phone,physhlth,pikupsex,pillok,pistol,polabuse,polactve,polattak,poleff11,poleff18,poleff19,poleff20,polescap,polfunds,polgreed,polhitok,polint1,polinter,polmurdr,polnews,polopts,polviews,popespks,popular,pornlaw,posslq,posslqy,postlife,powrorgs,pray,prayer,premarsx,pres08,pres12,preteen,prodctiv,promtefr,promteok,proudart,prouddem,proudeco,proudemp,proudgrp,proudhis,proudmil,proudpol,proudsci,proudspt,proudsss,racdif1,racdif2,racdif3,racdif4,raclive,racmeet,racopen,racwork,radioact,rank,ratetone,realinc,realrinc,reborn,refrndms,reg16,relactiv,relatsex,relig,relig16,reliten,relmeet,relpersn,res16,respect,respnum,retchnge,revmeet,rghtsmin,richwork,rifle,rincblls,rincom06,rincome,rowngun,safefrst,safehlth,safetywk,satfin,satjob,satjob1,savesoul,scibnfts,scifrom,scinews1,scinews2,scinews3,scistudy,scitext,secondwk,sector,seeksci,selffrst,selfless,servepeo,sexeduc,sexfreq,sexornt,sexsex,sexsex5,shortcom,shotgun,sibs,signdpet,size,slpprblm,socbar,socfrend,socommun,socrel,solarrev,solok,spanking,spden,spdipged,spevwork,spfund,sphrs1,sphrs2,spind10,spkath,spkcom,spkhomo,spklang,spkmil,spkmslm,spkrac,spocc10,spother,sprel,sprtprsn,spsector,spvtrfair,spwrkslf,spwrksta,stockops,stockval,stress,stress12,strredpg,suicide1,suicide2,suicide3,suicide4,supcares,suprvsjb,suphelp,talkedto,talkspvs,tax,teamsafe,teens,teensex,thnkself,toofast,toofewwk,trdestck,trdunion,trust,trustman,trynewjb,tvhours,unemp,union,unrelat,uscitzn,usedup,usemedia,useskill,usetech,usewww,uswar,uswary,valgiven,vetyears,viruses,visitors,voedcol,voednme1,voedncol,voednme2,volchrty,volmonth,vote08,vote12,voteelec,watchgov,waypaid,wealth,webmob,weekswrk,weight,whencol,whenhs,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,whywkhme,widowed,wkageism,wkcontct,wkdecide,wkfreedm,wkharoth,wkharsex,wkpraise,wkracism,wksexism,wksmooth,wksub,wksubs,wksup,wksups,wkvsfam,wlthblks,wlthwhts,workblks,workdiff,workfast,workfor1,workhard,workwhts,wrkgovt,wrkhome,wrksched,wrkslf,wrkstat,wrktime,wrktype,wrkwayup,wrldgovt,wwwhr,wwwmin,xmarsex,xmovie,xnorcsiz,yearsjob,yearval
313,46,2,2,12,1,6,10,,25.2,49882.5,49882.5,1,0,0,,,1,2014,1968,,20.9,24.6,3,,,,,,,,,,,4,2,1,2,3,4,1,1,1,,,,,,,,,,,,,,,,,,2,1,2,3,3,1,,,2,2,,3,,2,2,,6,,3,2,,,3,2,,3,,2,,,,,,,2,,,,,,,,2,,,1,1,2,3,2,,1,1,2,3,2,2,2,2,1,2,2,3,3,,,,,7,,,2,,,4,14,14,,,,,,1,3,2,,2,1,2,,2,1,2,0,0,1,2,5,,.u,2,2,1,2,2,,,2,2,2,,1,,2,1,,,,3,75,1,3,1,,2,2,1,3,,2,,,,,1,1,,,,,,6,3,4,0,2,3,1,3,4,1,,3,,,,2,,,,1,,,3,2,,,1,3,3,3,7,4,2,2,1,2,1,201402,3,2,,7,,,2,,54,,,2,2,5,1,,,,,,,,,,,,,,,,,.a,12,20,,1,1,1,,2,2,5,,5,1,1,1,1,3,1,3,,,,3,,,,,3,1,,,,1,,7,,,1,5,,,,,,,,,3,3,,2,8980,,,,,4510,3,3,3,,3,,3,1,1,1,,4,,,,1,1,,,,,,3,,1,1,,1,,1,,1,,1,3,,1,,1,,1,1,1,,1,1,1,1,,3,1,1,1,7,7,,,2,9985,0,1,7,,6,,,,,2,,,7,,1,,,,,,1370,9600,0,,2,1,1,1,,0,,,,,2,7,3,,2,6,,,2,,2,2,1,4,4,3,2,2,1,4,1,2,4,2,2,6,4,,5,1,,3,1,,1,2,1,1,1,0,,,,,,,,,,,,,,,1,1,1,1,1,4,,,1,6,5,31927.5,31927.5,1,4,3,3,1,1,1,1,3,2,6,,1,,2,5,,,,20,12,,,,,2,1,,1,1,5,,,,1,5,,,3,,,2,1,2,3,1,1,,,5,2,2696,,7,5,3,1,,6,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,2,2,,,,,,,,0,1,4,3,,2,,2,,,2,2,1,0,,,4,,,1,2,,,0,1,0,,,1,4,,,1,1,7,7,,7,,52,,,,2,2,2,2,2,1,,2,,,,,,,,,,,1,3,1,3,,4,4,6,,,2,2,6,2,,,2,1,,,5,,2,0,,2,1,,
314,28,2,2,14,1,8,8,,77.2,20322.5,27712.5,1,0,0,,,1,2014,1986,,,24.6,1,,,,,,,,,,,3,1,3,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,1,2,0,3,3,1,,,1,3,,2,,3,1,2,4,,2,2,,,2,2,,3,,1,,,,,,,3,,,,,,,,1,2,,1,1,1,2,2,,1,1,2,2,1,2,1,2,1,2,1,1,3,2,,,,7,,,,9,7,8,,,,,,,,2,3,1,,2,3,1,,1,1,1,4,0,,,3,,29,2,2,,2,3,,,2,2,,,2,,2,3,,,,1,75,1,3,1,,2,4,1,1,,2,,,,,3,3,,,,,,6,2,3,2,1,4,4,3,1,4,,7,,,,2,,,,1,,,3,2,,,2,2,1,1,7,6,123,13,1,2,1,201308,4,2,,7,,,4,1,,,,,2,7,,,,,,,1,,,,,,,,,,,1,12,17,,1,1,1,,2,2,3,,6,1,2,1,1,1,1,,,,,,,,,,3,1,,,,,,,,,1,1,,,,,,,,,2,2,,,8980,,,,,4510,1,1,1,,5,,1,1,1,2,,2,,,,1,1,,,,,,3,,2,2,,1,,2,,1,,1,2,,1,,1,,1,2,1,,2,2,1,2,,2,5,3,1,7,7,,,7,,0,5,6,,,,,,,2,,,7,,1,,,,,,.b,,2,,1,2,1,3,,1,,,,,,,2,,2,6,,,1,,2,2,2,5,3,3,3,2,3,4,2,3,2,1,6,7,1,,4,2,,4,1,,2,1,4,,1,0,,,,,,,,,,,,,,,2,1,1,2,2,4,,,2,1,5,17737.5,13007.5,2,2,3,1,1,4,4,4,4,3,6,,1,,3,7,,,,15,12,,,,,3,2,,2,1,3,,,2,2,5,,,3,,,1,1,5,3,1,1,,,2,1,2696,,4,1,3,1,3,7,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,0,3,1,4,,,,1,,,0,2,4,0,,,3,,,,1,,,0,1,0,2,,,,,,2,1,6,7,,,,52,,,2004,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,4,3,4,,,,3,2,2,,,2,4,,,3,,120,0,,2,1,,
315,40,2,2,12,1,,10,,24.2,20322.5,20322.5,1,,0,,,1,2014,1974,,,24.2,5,,2,1,1,2,2,1,2,,2,6,4,2,2,4,,2,1,1,,,,,,,,,,,,,,,,,2,2,1,0,4,4,1,2,,2,2,,2,,1,,1,1,,3,2,,,,4,4,4,,2,9,7,,,,,4,4,4,,4,4,5,5,1,1,,1,,1,3,1,3,1,1,1,2,1,2,1,2,1,3,2,1,3,2,2,4,,5,,,2,4,7,6,35,10,2,2,,3,,,4,,2,,1,2,2,1,2,2,,,2,1,1,,97,2,2,,2,2,,,2,3,2,,1,4,2,5,2,1,1,,75,1,,,,,,2,3,,2,,4,1,,2,1,1,,,,,6,2,2,0,2,3,4,2,4,4,2,6,2,,,2,1,2,2,1,68,,5,2,,,3,4,3,4,7,7,12,13,1,1,2,,,2,2,7,0,2,7,1,22,,2,2,2,6,2,4,0,1,2,,1,1,,,,,,,,,,2,12,15,,2,1,2,,3,2,,,,1,2,2,3,3,2,,1,,,,,,,1,4,3,4,1,2,1,1,2,,,,,,1,2,2,2,1,1,3,,,,3,8270,,,,3,3600,,,,3,2,,,2,1,2,,,,0,10,1,1,0,2,,,,2,,2,2,,2,,1,,1,,2,1,,2,,1,,1,1,1,,2,2,2,2,,2,,5,2,7,4,50,,20,4,0,2,7,4,6,,,2,,2,,,7,,1,3,2,4,2,2,,,0,,2,2,1,2,1,1,,,,,,7,3,,2,3,0,2,,2,2,2,2,2,2,2,3,2,3,2,2,3,4,1,1,7,5,,5,1,,4,1,,1,,,,,2,1,2,2,,,,2,,,,,,,,,,,,2,4,2,4,1,1,6,13007.5,13007.5,1,3,3,1,1,1,1,2,1,3,6,1,1,,4,7,1,2,2,15,12,,2,2,2,2,1,2,1,1,3,,,1,2,6,2,,3,,,3,,6,3,1,1,,2,2,3,2696,1,,,,,,7,,,,,,,,,1,1,1,,1,2,1,,,,2,,1,,,2,,3,,2,,,,,2,2,1,,2,2,2,2,,1,2,2,,2,2,2,3,,1,1,0,,3,4,1,30,,,,,0,1,1,,,1,4,,,2,2,7,6,2,3,,44,160,,,2,2,2,2,2,1,,,2,1,4,1,2,2,1,2,2,1,1,3,2,,4,,,,2,2,1,3,,2,1,3,2,2,1,5,,,,,1,2,1,3,
316,25,1,2,12,1,,12,,29.4,5542.5,5542.5,1,,1,,1,1,2014,1989,,,24.2,0,1,1,1,1,2,1,2,2,3,2,,,1,,,,3,1,2,4,2,4,4,2,3,3,4,3,3,4,5,4,2,5,2,2,,,0,,,0,2,,,,4,,,3,,,,,,2,3,6,,,4,,3,2,9,8,4,4,3,3,,4,5,,4,4,4,4,,,,1,,2,3,3,4,1,,3,3,3,3,3,3,3,3,2,3,,1,2,1,,,6,2,,,,,,18,2,2,2,2,,,,,,,1,,1,,,,,,,,1,,1,2,2,,2,3,,1,,,,,1,2,1,5,4,3,2,,75,1,,,,,,1,3,5,1,2,2,2,,3,1,1,6,6,3,5,3,2,,0,1,,,,,,1,,1,,,2,2,1,2,1,69,6,1,3,4,4,1,1,1,1,,,1,4,1,2,1,201302,4,1,4,,0,4,1,,40,,4,,,,,4,0,1,2,,,1,3,1,1,2,5,5,1,5,1,1,7,7,,,,,,,,,2,,,,,,,,,3,,,,,,,2,,1,1,1,2,,1,,3,3,,,3,2,2,2,2,2,2,2,,,6,7,8270,,,,3,3600,,,,1,5,,,1,1,2,2,,2,0,0,1,1,0,2,4,,3,,2,,1,1,,1,,1,,1,,1,1,,1,,1,,1,2,1,,1,1,1,1,,,,,,,0,,10,,0,5,,2,,,,2,,2,,,,1,1,2,2,,2,2,,,0,1,2,1,2,5,2,3,4,2,,2,,,,2,2,6,0,2,,2,1,,1,,,,,2,,,1,,,1,,,2,,4,2,,,1,1,5,,,1,,0,2,4,3,3,4,4,2,4,4,2,4,,3,3,,,,,1,,2,3,,10,4,3547.5,3547.5,2,,3,1,2,4,1,4,,4,6,2,1,6,,,1,2,2,7,7,,2,2,2,2,2,2,2,,,,,,,,2,,,1,1,,,5,1,1,1,2,2,3,,2696,3,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,1,,2,,,,,4,,2,,,,,2,2,3,5,2,1,2,0,,2,,1,,2,3,3,1,,1,4,,,2,,2,15,,,,5,0,,0,,,2,,6,2,1,2,,,2,,,38,150,,,2,2,2,2,2,1,,,1,1,2,1,2,2,3,1,2,2,1,3,2,,3,,,,2,1,,3,,2,1,1,2,1,4,5,,2,,,1,1,1,1,
317,55,1,3,20,1,,12,20,48.1,33255,33255,3,,1,1,1,2,2014,1959,12.6,,38.8,2,5,1,1,1,1,1,1,2,5,,,,6,,,3,,1,1,1,1,2,2,1,1,4,1,1,1,1,1,1,4,1,4,,,,1,,,0,,,,,4,,1,2,,,,,,1,1,6,2,,,,4,2,5,5,2,2,3,1,,5,5,,4,5,5,5,,,,1,1,,,,,2,,,,,,,,,,,,,2,,,,,2,4,,,,,,,,,5,2,2,,,1,2,1,6,,,,,,0,0,,,,,38,2,2,,,2,1,4,,,,,,,2,5,,,1,2,2,1,3,,1,2,3,2,2,4,1,4,,,,2,2,3,6,6,6,6,6,,,4,,,,,,,1,,,,1,1,,2,,1,,6,,,6,5,,,,,,,102,1,11,2,2,,,2,,,,4,6,,,,,,,,,4,,,,,1,,1,1,1,5,1,1,5,2,2,3,12,18,,,,,,,,4,1,4,,,,,,,,,5,4,,2,3,1,,,,,,,,,,6,5,1,5,2,2,2,2,2,1,1,2,4,3,6,,6670,,,,,5700,3,3,3,2,1,1,3,1,1,2,2,2,4,,,3,1,,,3,5,3,,1,,1,2,,3,,3,,2,,2,2,,1,,2,,3,2,2,,3,1,2,3,,5,,,,,,,,,,,,,,,,,,1,1,,,1,1,,2,,,,,,8,4,,1,1,1,,0,1,3,1,3,,,,2,1,3,,,1,2,,,,,,,,,,,,,,,,,5,1,,,1,,1,1,6,1,4,,1,0,,,,1,2,2,,3,1,1,1,1,1,2,2,2,2,1,1,,2,,,5,3,21285,21285,1,,0,1,,2,2,3,,3,4,,1,6,,,,2,,18,12,,,,,2,2,,2,,,,,,,,,3,,1,1,,1,3,3,3,3,2,2,3,,2696,,6,5,5,5,,,2,,1,1,2,,,1990,1,1,1,3,2,2,1,4230,,2,2,,,2,7,,,,,,2,2,2,2,,,,1,,1,,0,1,,,,,,,,,12,,,0,1,,,,,1,,1,0,0,,0,2,,,,6,2,2,1,,,,,,49,,1979,,2,2,2,1,2,2,,2,,,,,,,,,,,,,,,,5,1,4,,,,,4,2,,,2,7,,,1,1,0,0,1,,1,,
318,19,2,3,11,,,11,,,,20322.5,0,,0,,,1,2014,1995,,,24.2,0,,1,1,1,1,1,1,2,,2,2,2,2,2,3,,1,,,,,,,,,,,,,,,,,,,,2,3,2,3,,0,,,,2,,3,1,3,2,1,3,,3,2,,,,2,,2,,2,1,7,,,,,4,4,5,,4,5,5,5,1,1,,1,,1,2,1,,1,1,1,2,3,1,,1,1,1,1,2,4,2,,,,5,,,,8,4,5,60,60,,,,1,,,3,,,,1,2,,2,1,2,,,,,6,,17,2,2,2,2,3,2,,2,3,,,1,,2,5,,,2,,,3,,,,,,1,3,,2,,,2,,1,1,1,,,,,2,2,4,4,2,3,4,3,4,4,1,7,,,,2,,2,,2,,,3,3,,,3,3,4,2,5,5,12,13,2,,2,,,,,6,,4,3,1,,,,1,1,6,1,4,,,,,3,3,,,,,,,,,,3,12,15,,2,2,1,,1,3,,,,1,1,1,1,2,2,,,,,,,,,,3,1,,,,2,,5,,,,,,2,1,2,2,1,1,1,,,,,8270,,,,,3600,,,,1,5,,,1,1,2,,,,,,1,1,,,,,,,,,1,,3,,2,,2,,1,3,,3,,1,,2,2,2,,3,2,2,1,,3,,8,1,7,,,,1,,1,4,6,,7,58,58,2,,1,2,4,7,,1,,2,,2,,,,8,,1,,2,4,,2,,,,,,7,4,,1,6,,2,,2,2,3,1,1,2,2,3,1,3,2,1,3,3,2,1,6,3,,5,2,,4,2,,6,,,,,0,,,,,,,,,,,,,,,,,,,1,4,1,,2,5,1,13007.5,,2,3,3,1,2,1,1,2,4,3,1,,2,,4,7,,2,,,,,,,,1,,,2,2,3,,,11,2,5,,,3,,,2,,2,2,2,2,,2,4,2,2696,,,,,,,5,,,,,,,,,1,1,1,2,1,2,2,,,,4,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,2,,,,2,4,0,,,3,,,,,,,0,1,0,,,2,,,,3,3,7,5,,,,0,,,,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,2,1,1,,
319,31,2,3,10,,11,12,,21.6,6651,8313.75,0,0,1,,1,2,2014,1983,,23.3,43.9,4,4,2,2,2,2,2,2,2,1,,,,1,,,,1,1,2,2,2,1,2,1,2,2,1,2,1,2,4,1,3,2,2,2,,,7,,,0,2,,,,4,,1,1,,,,,,1,4,5,,,4,,4,4,9,9,2,1,1,1,,5,4,,4,5,5,5,,,,1,,2,1,1,2,1,,1,2,2,1,2,1,1,2,1,1,,2,2,2,,,3,4,,,,,70,70,2,2,4,1,,,,,,,1,,4,,,,,,,,2,,22,2,2,,2,3,,4,,,,,2,2,2,1,4,1,2,,75,1,,,,,,1,3,3,1,4,2,,,2,2,3,6,6,4,5,6,2,,4,2,,,,,,1,,2,,,2,1,3,3,1,62,6,2,1,3,3,3,1,3,4,,,1,4,3,1,1,201404,1,2,1,,0,1,1,,40,,4,,,,,4,0,1,2,,1,1,3,4,2,4,3,2,4,4,2,3,9,9,,,,,,,,,4,,,,,,,,,1,,,,,,,2,,1,1,2,2,,2,,4,4,,,2,1,1,2,1,2,1,1,,,4,6,3390,,,,2,8965,,,,1,5,,,1,1,2,1,,2,0,0,1,1,0,2,3,3,2,,2,,1,2,,1,,1,,1,,1,2,,1,,2,,2,1,1,,1,1,2,2,,,,,,,20,,3,,0,4,,2,,,,,,1,2,,,1,1,2,2,,,2,4770,9620,8,1,3,2,1,2,1,4,2,2,2,4,2,,,2,1,6,0,,,2,2,,2,,,,,1,,,2,,,2,,,7,,5,2,3,,2,2,1,,,,,0,2,2,2,2,2,2,2,2,1,1,2,1,2,1,,,,,1,,2,3,,9,3,5321.25,4257,1,,3,3,1,11,11,1,,2,6,2,1,5,,,2,2,1,8,8,,2,2,2,1,1,2,1,,,,,,,,2,,,4,5,,,5,3,1,1,3,2,1,,2696,3,,,,,,,,,,,,,,,1,,1,1,2,1,2,,,,1,,2,,,,,3,,2,,,,,1,2,2,1,4,2,2,0,,2,,3,,2,2,2,1,,2,4,,3,5,,2,80,,,,50,0,,0,,,2,,5,2,2,2,,,2,,,52,171,,,2,2,2,2,2,1,,,2,1,4,2,2,2,2,2,2,2,1,3,2,,4,,,,2,2,,3,,2,1,3,2,1,1,5,,3,,,1,2,1,1,
320,33,1,3,12,1,4,3,12,31.2,20322.5,20322.5,1,0,0,0,2,2,2014,1981,,61.2,,3,4,,,,,,,,6,,,,2,2,,3,1,1,1,2,3,3,2,1,2,3,1,1,1,1,3,2,3,3,3,2,2,2,0,,,1,2,,,,3,2,,1,2,2,,,,2,3,6,8,,3,,3,2,,,2,2,2,2,,,,,,,,,2,,,1,2,1,3,2,2,2,2,1,3,2,3,2,3,1,2,2,1,,3,2,2,,,6,3,,,,,,,2,2,6,,2,,,3,2,2,1,1,3,,2,,1,0,,,4,,17,2,2,2,2,2,,4,,,,,3,2,2,1,2,2,,2,75,1,2,,3,,2,1,2,2,1,3,2,,4,2,2,,6,6,6,6,6,3,,4,2,,,,,,,,1,,2,2,2,,2,1,,6,3,2,6,6,3,4,3,3,,,4,11,2,2,2,,,2,2,,0,,5,2,40,,0,2,2,1,2,,0,1,2,,1,2,3,1,2,4,2,1,4,3,3,3,12,15,,3,2,2,,3,3,4,3,4,2,2,2,3,2,2,3,2,4,1,2,5,3,2,2,,2,1,2,2,1,2,,6,3,2,3,4,,,,,,,,4,3,6,1,,,,,2,,3,3,3,,1,1,3,1,2,,1,3,3,0,0,3,2,4,1,3,7,3,,2,,2,3,,1,,3,,1,,2,2,,1,,1,,2,2,3,,2,2,2,3,,5,5,2,,,0,,0,,,1,,2,,,,,,2,,,,5,1,2,,,,2,7470,4840,8,4,2,1,1,1,1,2,2,4,2,2,2,,,2,2,6,0,,2,,2,,,,,,,2,,,2,,,2,,,4,3,5,2,1,,,3,2,2,2,,,2,2,2,2,,2,2,1,2,3,2,2,2,3,2,2,2,2,2,2,,,,2,7,,13007.5,13007.5,2,,0,3,1,2,2,2,,2,3,2,1,6,,,,,2,15,12,,2,2,2,2,2,3,2,2,5,,,,3,,2,,5,3,6,,1,3,3,3,3,2,,16,,2696,2,7,7,4,4,3,,2,,,2,2,,,,,,,,,,,,,2,2,,2,,7,,,3,,2,2,2,2,2,2,2,2,6,3,,2,0,1,2,2,2,,2,2,2,2,2,1,4,,2,3,,2,0,,1,,0,0,2,0,,,2,,6,2,3,3,,,2,,1,52,140,,,2,2,2,2,2,1,,2,2,1,2,2,2,2,1,2,2,2,1,4,2,,2,4,4,4,2,2,,3,4,2,1,1,2,1,2,5,1,3,1,0,,2,1,0.75,
321,27,1,1,19,1,20,18,,,,103460,3,4,4,,1,1,2014,1987,,84.5,84.5,0,5,,,,,,,,3,,,,3,1,,4,1,,,4,2,4,3,2,2,4,1,2,1,3,4,2,1,2,4,,2,3,4,,,0,,,1,,4,2,,2,1,1,,,,2,4,5,2,,,,3,2,,,2,2,2,1,,,,2,,,,,1,16,,1,1,2,2,2,,1,1,2,2,2,2,1,3,1,3,1,2,,3,,,,,4,2,,,,,70,70,,,4,,2,,,3,,1,3,1,,,1,,1,0,,,2,,34,2,2,1,2,3,2,3,2,1,,,2,,2,1,,,,2,,3,3,,4,2,3,3,4,4,1,2,,,,2,2,,6,6,4,4,5,2,,0,1,,,,,,,,,,,2,,,,1,,5,4,1,3,5,2,3,3,2,,,41,1,1,,2,,,,,,,,3,1,,,,1,1,8,1,,,,,,,,5,2,2,4,1,2,4,2,4,4,12,24,,1,1,1,,2,2,4,3,4,1,2,1,1,1,1,,,3,5,,1,4,2,,,3,,,,2,,,6,4,1,3,3,,,,,,,,3,3,6,,7870,41,,41,,2200,2,2,2,,5,,2,1,1,2,2,3,3,,,1,1,,,3,2,2,,3,,2,2,,2,,1,,1,,2,1,,2,,1,,2,2,2,,2,1,1,3,,3,3,1,,,,,0,,2,5,,,,,,,,2,,,,1,1,,,,,,7870,2200,0,1,2,2,1,1,,1,2,2,3,3,2,,,2,1,3,,,2,,2,,1,,,,,2,,,2,,,2,,,3,,4,2,3,,1,3,4,1,4,1,1,0,,,,1,2,3,,3,2,2,3,1,1,3,1,2,1,2,1,,,,2,4,2,66220,,1,,3,6,1,1,1,2,,3,3,,3,6,,,,,,,,,,,,2,,,2,1,3,,,3,1,3,,1,10,3,3,,1,4,3,3,3,1,,0,,13,,3,3,3,3,3,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,2,2,,,,3,,,,0,1,1,3,,,,1,,,1,2,4,0,,,,,,,1,,,0,2,0,2,,,,4,1,1,1,,,,,,3,,2010,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,4,3,4,,,,2,4,,,,,6,,,3,4,25,0,,2,3,,
322,62,1,1,16,1,12,18,,71,,88680,3,1,3,,1,1,2014,1952,,40.1,,2,4,,,,,,,,4,,,,1,2,,4,2,,,4,1,2,3,2,1,5,2,1,1,2,1,1,4,2,5,,2,3,7,,,0,,,1,,1,1,,1,1,1,,,,2,3,5,8,,,,5,3,,,1,2,2,1,,,,2,,,,,1,2,,1,1,1,2,2,,2,1,3,3,2,2,3,3,1,3,2,2,,2,,,,,4,5,,,,,,,,,4,,2,,,1,,1,0,1,,,1,,3,0,,,7,,.u,2,2,,2,2,1,3,2,1,,,2,,1,1,,,,2,,3,2,,4,1,2,1,2,5,1,1,,,,2,2,,6,2,2,5,6,2,,1,2,,,,,,,,,,,1,,,,22,,6,5,1,2,3,5,2,5,3,,,1,4,1,,2,,,,,,,,1,1,,,,1,2,4,2,,,,,,,,5,1,2,5,1,1,4,5,5,3,12,23,,1,2,3,,2,1,4,5,4,1,1,1,1,2,1,,,2,1,,3,4,5,,,2,,,,2,,,4,5,2,1,1,,,,,,,,3,3,6,,,60,,60,,,3,3,3,,3,,3,1,2,,2,2,5,,,2,1,,,2,1,3,,1,,2,3,,3,,1,,3,,3,3,,3,,1,,3,2,3,,1,2,3,2,,4,5,1,,,,3,0,,3,4,,,,,,,,2,,,,1,1,,,,,,6890,5500,0,1,1,,1,1,,6,3,3,1,4,1,,,2,1,3,,,,,2,,1,,,,,1,,,1,,,2,,,6,1,5,2,3,,1,2,1,2,3,2,2,0,,,,1,1,1,,2,1,1,3,1,1,3,2,2,1,2,2,,,,2,1,2,56760,,2,,3,1,1,2,2,1,,1,5,,1,4,,,,,,,,,,,,1,,,2,1,5,,,,1,2,,2,3,5,3,,1,3,3,3,3,5,,9,,13,,7,5,6,5,3,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,2,2,,,,2,,,,0,1,1,4,,,,1,,,6,2,4,,,,,,,,2,,2000,0,2,0,2,,,,5,2,1,1,,,,,,0,,1974,,2,2,2,2,2,1,,2,,,,,,,,,,,,,,,,6,4,4,,,,3,4,2,,,1,5,,,1,5,2,0,,2,3,,
